text_en	reversible	time	level	item	fetish	act_needs_dick	act_needs_pussy	pas_needs_dick	pas_needs_pussy	oral (act receives!)	anal	domination	rng	jokerCode	fetish2
ActPlayer, make yourself come in PasPlayer's mouth (within the time)!	1	120	3			1	0	0	0	0	0	0	0	0	cum_in_mouth
ActPlayer, fuck PasPlayer's mouth until you come (within the time)!	1	150	3			1	0	0	0	0	0	0	0	0	cum_in_mouth
PasPlayer, rub ActPlayer's dick until they come in your mouth!	1	0	3			1	0	0	0	0	0	0	0	0	cum_in_mouth
PasPlayer, rub ActPlayer's dick until they come on your boobs!	1	0	3			1	0	0	0	0	0	0	0	0	cum_on_body
ActPlayer, make PasPlayer come using your mouth only! You can win a joker!	1	150	3			0	0	0	0	0	0	0	0	5	
PasPlayer, lick ActPlayer's pussy while sitting or kneeling behind them!	1	150	3			0	1	0	0	0	0	0	0	0	
ActPlayer, fuck PasPlayer missionary style. Cover their mouth and nose with your hand for a few seconds meanwhile!	1	120	3			1	0	0	1	1	0	1	0	0	breath_play
ActPlayer and PasPlayer, try and make each other come! The first to succeed gets a joker!	1	150	3			0	0	0	0	0	0	0	0	3	
ActPlayer, put PasPlayer's underwear in their mouth and fuck them missionary style!	1	120	3			1	0	0	1	1	0	1	0	0	panties_in_mouth
PasPlayer, ride ActPlayer. ActPlayer, grope their boobs or twist their nipples meanwhile	1	120	3			1	0	0	1	1	0	1	0	0	
ActPlayer, put PasPlayer's underwear in their mouth and fuck them missionary style!	1	120	3			1	0	0	1	0	0	0	0	0	
ActPlayer, take PasPlayer from behind, fingering their butthole meanwhile!	1	120	3			1	0	0	1	0	0	0	0	0	
PasPlayer, put on some nipple clamps and then ride ActPlayer!	1	150	3	nipple_clamps		1	0	0	1	0	0	0	0	0	
PasPlayer, kneel or squat to ride a dildo while giving ActPlayer oral pleasure!	1	90	3	dildo		0	0	0	1	1	0	0	0	0	
PasPlayer, kneel to suck a dildo from the ground while ActPlayer takes you from behind!	1	120	3	dildo		1	0	0	1	1	0	1	0	0	
PasPlayer, put in a buttplug now and wear it for at least the next two rounds!	1	0	3	buttplug		0	0	0	0	0	1	0	0	0	
PasPlayer, put on some nipple clamps now and wear them for at least the next two rounds!	1	0	3	nipple_clamps		0	0	0	0	0	0	1	0	0	
ActPlayer, make PasPlayer come using a vibrator!	1	0	3	vibrator		0	0	0	1	0	0	0	0	0	
PasPlayer, make yourself come using a vibrator!	1	0	3	vibrator		0	0	0	1	0	0	0	0	0	
PasPlayer, make yourself come using a vibrator while using your hand to rub ActPlayer's dick!	1	0	3	vibrator		1	0	0	1	0	0	0	0	0	
PasPlayer, make yourself come using a vibrator while using your hand to rub ActPlayer's pussy!	1	0	3	vibrator		1	0	0	1	0	0	0	0	0	
PasPlayer, make yourself come using a vibrator while sucking ActPlayer's dick!	1	0	3	vibrator		1	0	0	1	1	0	0	0	0	
Record the next round on the old camera!	0	0	3	camera		0	0	0	0	0	0	0	0	0	
ActPlayer, take PasPlayer missionary. Slowly pour the glass of water in their mouth while you are doing it!	1	150	3	water		1	0	0	1	0	0	0	0	0	
ActPlayer, take PasPlayer missionary. Pour the glass of water all over them while doing it!	1	120	3	water		1	0	0	1	0	0	0	0	0	
ActPlayer, put some handcuffs on PasPlayer and then fuck them from behind!	1	150	3	handcuffs		1	0	0	1	0	0	1	0	0	
ActPlayer, put some handcuffs on PasPlayer and then fuck them missionary!	1	150	3	handcuffs		1	0	0	1	0	0	1	0	0	
ActPlayer, put some handcuffs on PasPlayer and then fuck their mouth!	1	150	3	handcuffs		1	0	0	1	1	0	1	0	0	
PasPlayer, put your mouth around ActPlayer's dick and rub it fast and hard! If they cum, take it deeper to give the ultimate pleasure! 	1	120	3			1	0	0	0	1	0	0	0	0	cum_in_mouth
