text_en	reversible	time	level	item	fetish	act_needs_dick	act_needs_pussy	pas_needs_dick	pas_needs_pussy	oral (act receives!)	anal	domination	rng	jokerCode	fetish2
ActPlayer, give PasPlayer XX gentle slaps on their balls! You may  take off any clothes they are still wearing for better access!	1	0	2		spanking	0	0	1	0	0	0	1	2	0	
ActPlayer, cover PasPlayer's mouth and nose with your hand until they tap out. Give them a passionate kiss afterwards!	1	0	2			0	0	0	0	0	0	1	0	0	breath_play
PasPlayer, lie down and lick ActPlayer's pussy while they stand next to the bed or couch!	1	90	2			0	1	0	0	1	0	0	0	0	
PasPlayer, lie down! ActPlayer, kneel above them and have them lick your pussy!	1	60	2			0	1	0	0	1	0	1	0	0	
PasPlayer, squat and lick ActPlayer's pussy!	1	60	2			0	1	0	0	1	0	0	0	0	
PasPlayer, kneel and kiss or lick ActPlayer's thighs!	1	60	2			0	1	0	0	1	0	1	0	0	
PasPlayer, kneel and put your lips on ActPlayer's pussy! They will grab your hair and use your mouth!	1	90	2			0	1	0	0	1	0	0	0	0	
ActPlayer and PasPlayer, play with yourselves while kissing each other. Noone is allowed to cum!	1	90	2			0	0	0	0	0	0	0	0	0	
ActPlayer and PasPlayer, play with yourselves while kissing each other's necks. Noone is allowed to cum!	1	90	2		neck	0	0	0	0	0	0	0	0	0	
ActPlayer, if you roll a 5 or 6 you can do whatever you want to PasPlayer (without taking off more of their clothes)!	1	90	2			0	0	0	0	0	0	1	1	0	
ActPlayer, rub PasPlayer's dick!	1	75	2			0	0	1	0	0	0	0	0	0	
ActPlayer, rub PasPlayer's dick while kissing them!	1	60	2			0	0	1	0	0	0	0	0	0	
ActPlayer, rub PasPlayer's dick while licking their nipples!	1	60	2			0	0	1	0	0	0	0	0	0	
PasPlayer, rub ActPlayer's dick while licking their balls!	1	60	2			1	0	0	0	1	0	1	0	0	
ActPlayer, rub or finger PasPlayer's pussy!	1	75	2			0	0	0	1	0	0	0	0	0	
ActPlayer, rub or finger PasPlayer's pussy while kissing them!	1	60	2			0	0	0	1	0	0	0	0	0	
ActPlayer, rub or finger PasPlayer's pussy while licking their nipples!	1	60	2			0	0	0	1	0	0	0	0	0	
ActPlayer, rub PasPlayer's dick while kissing their neck!	1	60	2		neck	0	0	0	1	0	0	1	0	0	
PasPlayer, wear a blindfold for the next XX rounds!	1	0	2	blindfold		0	0	0	0	0	0	0	1	0	
PasPlayer, wear a blindfold for the next XX rounds!	1	0	2	blindfold		0	0	0	0	0	0	0	0	0	
PasPlayer, put on a blindfold, kneel and suck ActPlayer's dick!	1	120	2	blindfold		1	0	0	0	0	0	1	0	0	
PasPlayer, put on a blindfold, kneel and lick ActPlayer's pussy!	1	90	2	blindfold		0	1	0	0	0	0	1	0	0	
ActPlayer, use a dildo on PasPlayer!	1	90	2	dildo		0	0	0	1	0	0	0	0	0	
PasPlayer, use a dildo on yourself. ActPlayer can watch, but not touch!	1	90	2	dildo		0	0	0	1	0	0	0	0	0	
PasPlayer, kneel or squat to ride a dildo while pleasuring ActPlayer with your hand!	1	90	2	dildo		0	0	0	1	0	0	0	0	0	
PasPlayer, kneel on the ground to suck a dildo. ActPlayer can touch you or slap your butt meanwhile!	1	60	2	dildo		0	0	0	0	1	0	1	0	0	
ActPlayer, give PasPlayer's butt a whipping while they are standing straight! Go for speed over strength	1	60	2	whip		0	0	0	0	0	0	1	0	0	
ActPlayer, whip PasPlayer's chest. Go for XX whips, gradually increasing the intensity so that PasPlayer is still okay!	1	0	2	whip		0	0	0	0	0	0	1	3	0	
ActPlayer, gently whip PasPlayer's pussy XX times!	1	0	2	whip		0	0	0	1	0	0	1	2	0	
ActPlayer, give PasPlayer XX whips on the butt. Take your time and make them as strong as PasPlayer can handle!	1	0	2	whip		0	0	0	0	0	0	1	3	0	
PasPlayer, put in a buttplug now and wear it for at least the next two rounds!	1	0	2	buttplug		0	0	0	0	0	1	0	0	0	
Record the next round on the old camera!	0	0	2	camera		0	0	0	0	0	0	0	0	0	
ActPlayer and PasPlayer, take a picture or short clip of each other they way you are right now!	0	0	2	camera		0	0	0	0	0	0	0	0	0	
PasPlayer, imagine ActPlayer's balls and dick are ice cream! Lick them thoroughly, but dont put it in!	1	0	2			1	0	0	0	1	0	0	0	0	
PasPlayer and ActPlayer, if any of you still has some clothes on, take everything off!	0	0	2			0	0	0	0	0	0	0	0	0
